#{"t_start": 1619967496.3454528, "env_id": null}
r,l,t
-1,1000,1199.536739
-1,1000,1203.260268
-4,1000,1207.879653
-2,1000,1211.44758
-3,1000,1216.148964
-2,1000,1219.853493
-3,1000,1225.569599
-2,1000,1229.628187
-3,1000,1234.350669
-3,1000,1238.557152
-3,1000,1244.282807
-2,1000,1248.2364
-3,1000,1252.052147
-1,1000,1257.193657
-1,1000,1260.766834
-3,1000,1265.178729
-2,1000,1268.521277
-4,1000,1272.896314
-1,1000,1276.271705
-4,1000,1280.64567
0,1000,1284.100056
-2,1000,1288.521385
0,1000,1292.434112
-3,1000,1296.892251
-1,1000,1300.259683
-3,1000,1304.702664
-3,1000,1308.091115
-4,1000,1312.492953
-3,1000,1315.854379
-4,1000,1320.446357
-3,1000,1323.913642
-2,1000,1328.392054
-1,1000,1331.764061
-3,1000,1336.154456
-1,1000,1339.609643
-2,1000,1344.007192
-2,1000,1347.382205
-4,1000,1351.984339
-2,1000,1355.398039
0,1000,1359.901855
-2,1000,1363.2756
-2,1000,1367.694983
-2,1000,1371.08252
-1,1000,1375.477309
-2,1000,1378.84877
-2,1000,1383.516476
-3,1000,1386.953075
-2,1000,1391.406363
-2,1000,1394.793837
-1,1000,1399.185029
-3,1000,1402.657192
-3,1000,1407.064706
-4,1000,1410.575189
-5,1000,1415.008596
-2,1000,1418.519391
-1,1000,1421.915079
-5,1000,1426.339368
-1,1000,1429.679473
-5,1000,1434.064068
-4,1000,1437.419652
-3,1000,1442.072262
-4,1000,1445.595426
-1,1000,1450.003909
-2,1000,1453.52306
-4,1000,1458.01055
-4,1000,1461.284191
-1,1000,1465.676499
-3,1000,1469.02152
-3,1000,1473.595527
-2,1000,1476.963219
-1,1000,1481.454502
-1,1000,1484.842161
-3,1000,1489.199875
-2,1000,1492.57328
-3,1000,1496.995523
-3,1000,1501.557175
-1,1000,1506.746499
-2,1000,1510.746592
-3,1000,1515.736588
-3,1000,1519.765305
-2,1000,1524.901295
0,1000,1528.987507
0,1000,1534.271057
0,1000,1538.251255
-4,1000,1542.675948
0,1000,1546.584502
-2,1000,1551.272648
-2,1000,1554.639716
-1,1000,1559.056056
0,1000,1562.669564
-2,1000,1567.052053
-3,1000,1570.688133
-2,1000,1575.102917
-2,1000,1578.48359
-3,1000,1582.896852
-1,1000,1586.305881
-2,1000,1590.817134
-3,1000,1594.375743
0,1000,1597.710967
-3,1000,1602.094305
-1,1000,1605.459811
-3,1000,1609.839661
-5,1000,1613.242092
-2,1000,1617.678579
-3,1000,1621.310641
-2,1000,1625.687104
-3,1000,1629.056854
-2,1000,1633.475237
-2,1000,1636.809015
-2,1000,1641.16465
-1,1000,1644.489546
0,1000,1648.897645
-3,1000,1652.489033
-2,1000,1657.232133
0,1000,1660.573819
-4,1000,1664.963823
-2,1000,1668.320972
0,1000,1672.906295
-3,1000,1676.273775
-3,1000,1680.886929
-2,1000,1684.293935
-2,1000,1688.664784
-1,1000,1692.007074
-3,1000,1696.379712
