#{"t_start": 1619905634.891071, "env_id": null}
r,l,t
-2,1000,1028.715413
-4,1000,1032.068
-5,1000,1035.379841
-2,1000,1038.688499
-3,1000,1041.955948
0,1000,1045.336833
-3,1000,1048.61721
-3,1000,1052.125963
-5,1000,1055.513873
0,1000,1058.8748
-2,1000,1062.172083
-2,1000,1065.496114
-3,1000,1068.805085
-2,1000,1072.106869
-4,1000,1075.406806
-2,1000,1078.720132
-2,1000,1082.239977
-2,1000,1085.604364
-2,1000,1088.899239
-4,1000,1092.241258
-2,1000,1095.558412
-4,1000,1098.907204
-4,1000,1102.233886
-7,1000,1105.52896
-3,1000,1108.828067
-5,1000,1112.673747
1,1000,1117.075833
-5,1000,1120.977041
-4,1000,1124.742993
-3,1000,1128.524838
-2,1000,1132.302333
-2,1000,1136.153391
-2,1000,1139.977189
-2,1000,1143.993997
-2,1000,1147.784491
-1,1000,1151.689886
-1,1000,1155.490527
-1,1000,1159.363109
-2,1000,1163.161533
-3,1000,1166.984397
-1,1000,1170.805372
-2,1000,1174.800271
-1,1000,1178.566835
-1,1000,1182.35672
0,1000,1186.218437
-4,1000,1190.158224
-3,1000,1194.721044
-4,1000,1198.507632
-3,1000,1202.480704
-4,1000,1206.30415
-3,1000,1210.157809
-1,1000,1213.997181
-4,1000,1217.763664
-3,1000,1221.631535
0,1000,1225.415687
-1,1000,1229.233966
-2,1000,1233.28498
-2,1000,1237.073718
-4,1000,1240.877173
-3,1000,1244.689896
-4,1000,1248.599488
-2,1000,1252.361983
-2,1000,1256.208256
-1,1000,1260.075882
-4,1000,1264.101162
-5,1000,1267.980009
-2,1000,1271.74431
-5,1000,1275.633624
-2,1000,1279.427302
-2,1000,1283.209473
-2,1000,1286.996809
-3,1000,1290.890372
-5,1000,1294.896833
-2,1000,1298.662239
-3,1000,1302.54176
-3,1000,1306.386754
-2,1000,1310.212902
-2,1000,1314.03719
-5,1000,1317.81095
0,1000,1321.738481
-2,1000,1325.649496
0,1000,1329.455205
-2,1000,1333.234144
-2,1000,1337.087568
-4,1000,1340.827147
-2,1000,1344.730129
-1,1000,1348.539331
-3,1000,1352.516848
-3,1000,1356.344389
-2,1000,1360.172037
-2,1000,1363.999296
-2,1000,1367.872924
-4,1000,1371.705277
0,1000,1375.531027
-1,1000,1379.319574
-2,1000,1383.369419
-4,1000,1387.133145
-1,1000,1390.950226
-2,1000,1394.74992
-3,1000,1398.618667
-2,1000,1402.425332
-1,1000,1406.224475
-2,1000,1410.021046
-3,1000,1414.117208
-3,1000,1418.197738
-4,1000,1422.036255
-5,1000,1425.844814
-4,1000,1429.645013
-3,1000,1433.595092
-4,1000,1437.393264
-7,1000,1441.269131
-3,1000,1445.198676
0,1000,1449.036632
0,1000,1452.81652
-2,1000,1456.584568
-4,1000,1460.425557
-3,1000,1464.197215
-4,1000,1467.95937
-1,1000,1471.966723
-3,1000,1475.920984
-3,1000,1479.699751
0,1000,1483.530822
-3,1000,1487.304961
-2,1000,1491.100426
-3,1000,1495.069913
-1,1000,1499.553422
-3,1000,1503.566278
-1,1000,1507.313192
-4,1000,1511.112285
-2,1000,1515.017533
-2,1000,1518.874446
-3,1000,1522.664808
-3,1000,1526.537199
-1,1000,1530.436246
-3,1000,1534.4252
-2,1000,1538.197298
-3,1000,1542.001475
-2,1000,1545.784002
-4,1000,1549.527124
-3,1000,1553.358932
-1,1000,1557.288454
-4,1000,1561.189519
-5,1000,1565.117478
-1,1000,1569.010548
0,1000,1572.79708
-3,1000,1576.582741
-1,1000,1580.393872
-2,1000,1584.19078
0,1000,1587.937477
-2,1000,1591.849922
-4,1000,1595.738224
-5,1000,1599.491989
-4,1000,1603.281453
-3,1000,1607.059986
-5,1000,1610.822687
-3,1000,1614.590965
-3,1000,1618.472394
-2,1000,1622.463087
-2,1000,1626.294883
-4,1000,1630.137131
-5,1000,1633.953151
-3,1000,1637.714354
-2,1000,1641.578923
-3,1000,1645.321044
-2,1000,1649.125735
0,1000,1653.150982
-3,1000,1656.988626
-3,1000,1660.793054
-1,1000,1664.549977
-3,1000,1668.347465
-5,1000,1672.106346
-1,1000,1675.915062
-2,1000,1679.685957
-3,1000,1683.735096
-4,1000,1687.494046
-3,1000,1691.271021
-5,1000,1695.047554
-2,1000,1698.821373
-4,1000,1702.627419
-1,1000,1706.493459
-2,1000,1710.30032
-4,1000,1714.349601
-2,1000,1718.303056
-2,1000,1722.151367
-3,1000,1726.002734
-1,1000,1729.798923
-1,1000,1733.59811
1,1000,1737.38425
-4,1000,1741.271923
-1,1000,1745.246727
-2,1000,1749.011922
0,1000,1752.847961
-3,1000,1756.603024
-2,1000,1760.428566
-1,1000,1764.315389
-3,1000,1768.159625
-1,1000,1772.083675
-1,1000,1776.011303
-4,1000,1779.790617
-1,1000,1783.589765
-2,1000,1787.407251
-4,1000,1791.183968
-4,1000,1795.087391
-3,1000,1798.906458
-1,1000,1804.016899
-1,1000,1807.932028
-3,1000,1811.700433
-1,1000,1815.521932
-2,1000,1819.376022
-2,1000,1823.133914
0,1000,1827.014839
-4,1000,1830.851074
-5,1000,1834.786231
-3,1000,1838.579496
-1,1000,1842.456922
-1,1000,1846.344689
-3,1000,1850.149013
-4,1000,1853.982488
-1,1000,1857.801121
-2,1000,1861.688287
-3,1000,1865.578955
-4,1000,1869.46735
-2,1000,1873.26888
0,1000,1877.112301
-4,1000,1881.001995
-1,1000,1884.800122
-1,1000,1888.615265
-2,1000,1892.587071
-4,1000,1896.460399
0,1000,1900.297053
-3,1000,1904.079479
-2,1000,1907.89536
-4,1000,1911.758258
-1,1000,1915.524908
-4,1000,1919.353503
-2,1000,1923.524086
-1,1000,1927.333155
0,1000,1931.128921
0,1000,1934.991898
-3,1000,1938.791167
-2,1000,1942.669579
-3,1000,1946.488215
-1,1000,1950.394181
0,1000,1954.474991
-2,1000,1958.272168
-2,1000,1962.044732
-4,1000,1965.844056
-5,1000,1969.689181
-3,1000,1973.480192
-2,1000,1977.261049
-2,1000,1981.150864
-2,1000,1985.181997
-1,1000,1988.98425
-2,1000,1992.756933
-5,1000,1996.505401
-3,1000,2000.34619
-4,1000,2004.173398
-4,1000,2007.933792
-5,1000,2011.850096
-3,1000,2015.78607
-1,1000,2019.935187
-2,1000,2023.717613
-4,1000,2027.582513
-2,1000,2031.414551
-4,1000,2035.266901
-1,1000,2039.322982
-3,1000,2043.780958
-2,1000,2047.684349
0,1000,2051.483731
0,1000,2055.403397
-5,1000,2059.230873
-4,1000,2063.280286
-3,1000,2067.16559
-4,1000,2071.014054
-7,1000,2074.990014
-1,1000,2078.940023
-3,1000,2082.755494
-5,1000,2086.626904
0,1000,2090.450195
-1,1000,2094.335413
-7,1000,2098.104291
-3,1000,2102.076317
-4,1000,2106.604805
-2,1000,2110.785787
-4,1000,2114.629569
-2,1000,2118.424485
-4,1000,2122.199389
-4,1000,2126.006558
-5,1000,2129.883379
-2,1000,2134.03996
-3,1000,2137.840044
-6,1000,2141.623139
-5,1000,2145.453018
-4,1000,2149.238307
-3,1000,2153.082284
-2,1000,2156.839983
0,1000,2160.740375
-2,1000,2164.765005
-5,1000,2168.595966
-4,1000,2172.41172
-3,1000,2176.214101
-2,1000,2180.140104
-2,1000,2183.935353
-4,1000,2187.775108
-1,1000,2191.723368
-2,1000,2195.698473
-3,1000,2199.45778
0,1000,2203.540588
-2,1000,2207.324033
-1,1000,2211.144542
-2,1000,2214.961791
-1,1000,2218.827297
-4,1000,2222.863258
-4,1000,2226.814606
-1,1000,2230.691469
-1,1000,2234.523458
-2,1000,2238.34915
-3,1000,2242.15038
-4,1000,2245.917986
-6,1000,2249.75411
-4,1000,2253.843015
-2,1000,2257.609055
-2,1000,2261.465349
-1,1000,2265.314004
-2,1000,2269.166497
-5,1000,2272.966243
-1,1000,2276.751163
-3,1000,2280.596161
-2,1000,2284.640426
-2,1000,2288.395048
-1,1000,2292.215532
-3,1000,2296.016049
-3,1000,2299.798918
-2,1000,2303.683246
-6,1000,2307.464082
-2,1000,2311.356236
-2,1000,2315.325144
-4,1000,2319.183108
0,1000,2322.9742
-2,1000,2326.804608
-3,1000,2330.568743
0,1000,2334.45155
-2,1000,2338.380837
-2,1000,2342.421019
-2,1000,2346.348138
-2,1000,2350.114676
-3,1000,2353.928917
-3,1000,2357.714488
-2,1000,2361.547364
0,1000,2365.459382
-3,1000,2369.280369
-2,1000,2373.458458
-3,1000,2377.522216
-2,1000,2381.454318
-6,1000,2385.393484
-1,1000,2389.274048
1,1000,2393.146432
-1,1000,2397.206283
-4,1000,2401.102987
-1,1000,2405.100995
-4,1000,2408.955303
-3,1000,2413.589391
-4,1000,2417.486365
0,1000,2421.314512
-1,1000,2425.067342
-3,1000,2428.918939
-3,1000,2432.94711
-1,1000,2436.970442
-4,1000,2440.78926
-2,1000,2444.595455
-2,1000,2448.42929
-3,1000,2452.403605
-2,1000,2456.196109
-2,1000,2460.113566
-1,1000,2464.195078
-2,1000,2468.040373
-3,1000,2471.830381
-1,1000,2475.587015
-1,1000,2479.374165
-2,1000,2483.230418
-4,1000,2487.039755
-3,1000,2490.896335
-2,1000,2494.840889
-3,1000,2498.627196
-6,1000,2502.423202
-3,1000,2506.287247
-4,1000,2510.059504
-1,1000,2513.960081
-3,1000,2517.743483
-1,1000,2521.720391
-2,1000,2525.631454
-3,1000,2529.426001
-3,1000,2533.213115
-1,1000,2536.983241
-2,1000,2540.786046
-3,1000,2544.586357
-2,1000,2548.41547
-2,1000,2552.42745
0,1000,2556.32808
-5,1000,2560.103424
-4,1000,2563.855114
-3,1000,2567.708992
-4,1000,2571.498827
-1,1000,2575.27116
-2,1000,2579.129047
-3,1000,2583.269835
-1,1000,2587.314665
-3,1000,2591.152169
-5,1000,2594.936483
0,1000,2598.801192
-6,1000,2602.558516
-3,1000,2606.484375
-2,1000,2610.269065
-3,1000,2614.442372
-2,1000,2618.370443
-5,1000,2622.1472
-4,1000,2625.988091
-6,1000,2629.739793
-6,1000,2633.527196
0,1000,2637.478247
-5,1000,2641.434597
-10,1000,2645.30991
-12,1000,2649.129621
-11,1000,2652.867429
-11,1000,2656.602361
-2,1000,2660.401283
-11,1000,2664.165322
-9,1000,2667.906136
-10,1000,2671.794515
-5,1000,2675.72429
-12,1000,2679.412447
-5,1000,2683.197425
-1,1000,2687.093733
-7,1000,2690.874232
-11,1000,2694.586096
-1,1000,2698.533385
-5,1000,2702.501188
0,1000,2706.363362
-2,1000,2710.142594
-6,1000,2713.967354
-2,1000,2718.666715
-2,1000,2722.491727
-2,1000,2726.337275
-3,1000,2730.120461
-5,1000,2734.149296
-4,1000,2738.02003
-2,1000,2741.799425
0,1000,2745.806356
-3,1000,2749.669636
-2,1000,2753.470338
-1,1000,2757.380347
-3,1000,2761.242807
-2,1000,2765.301995
-3,1000,2769.107412
-3,1000,2772.953114
-2,1000,2776.811053
-2,1000,2780.664803
-2,1000,2784.56322
-5,1000,2788.353628
-4,1000,2792.295316
-4,1000,2796.220242
-3,1000,2800.131389
-5,1000,2803.87336
-3,1000,2807.724394
-2,1000,2811.656122
-2,1000,2815.498392
-3,1000,2819.328529
0,1000,2823.364441
-5,1000,2827.254418
-4,1000,2831.057259
-6,1000,2834.82129
-3,1000,2838.655197
-1,1000,2842.468413
-3,1000,2846.405591
-2,1000,2850.225339
-4,1000,2854.302639
